Company Name,Street Address,City,State,Zip Code,Zip Plus,Contact First Name,Contact Last Name,Contact Title,Address,Phone,Business Description,Primary NAICS,NAICS2,NAICS3,NAICS4,NAICS5,Business Type,County,Employee,Annual Sales,URL,Year Established,Website,latitude,longitude,geo_method,url,url_status
Academic Associates,711 Westchester Dr # 202,High Point,NC,27262,2434,Susan,Meisky,President,"711 Westchester Dr High Point, NC 27262",(336) 886-4198,Tutoring,611691,NA,NA,NA,NA,Private,Guilford,2,NA,academicassociatestutoringcent.godaddysi,2000,https://ACADEMICASSOCIATESTUTORINGCENT.GODADDYSI,35.97615665,-80.03304011,census,https://academicassociatestutoringcent.godaddysites.com,Accessible
C.H.I.L.D. (Channeling Healthy Innovative Learning Development),5959 Fisher Rd,Fayetteville,NC,28304,5654,Daphne,Evans,Owner,"5959 Fisher Rd Fayetteville, NC 28304",(910) 822-4453,Tutoring,611691,NA,NA,NA,NA,Private,Cumberland,8,NA,childincorporated.com,2005,https://CHILDINCORPORATED.COM,35.00519832,-78.99736592,census,http://www.childincorporated.com,Accessible
Darden Enlightment Center,3816 South Main St,Farmville,NC,27828,8548,Darren,Darden,Owner,"3816 South Main St Farmville, NC 27828",(252) 753-2165,Tutoring,611691,624190,813319,813410,NA,Private,Pitt,1,NA,dardenenlightmentcenter.org,2008,https://DARDENENLIGHTMENTCENTER.ORG,35.59403806,-77.58855365,census,https://www.guidestar.org/profile/33-1188350,Accessible
Dynamik Learning,301 S Church St # 161,Rocky Mount,NC,27804,5748,NA,NA,NA,"301 S Church St Rocky Mount, NC 27804",(336) 601-5823,Tutoring,611691,NA,NA,NA,NA,Private,Nash,2,NA,dynamiklearning1.wixsite.com,2018,https://DYNAMIKLEARNING1.WIXSITE.COM,35.939796,35.939796,census,https://dynamiklearning1.wixsite.com/dynamik-learning,Accessible
Huntington Learning Center,4711 Hope Valley Rd # 5B,Durham,NC,27707,5651,NA,NA,NA,"4711 Hope Valley Rd  Durham, NC 27707",(919) 435-2435,Tutoring,611691,NA,NA,NA,NA,Private,Durham,4,NA,huntingtonhelps.com,2020,https://HUNTINGTONHELPS.COM,35.92223719,-78.95717246,census,https://huntingtonhelps.com,Accessible
Huntington Learning Center,144 West Holly Springs Rd # 4,Holly Springs,NC,27540,7043,NA,NA,NA,"144 West Holly Springs Rd Holly Springs, NC 27540",(919) 629-8448,Tutoring,611691,611110,611710,NA,NA,Private,Wake,4,NA,huntingtonhelps.com,2023,https://HUNTINGTONHELPS.COM,35.65496826,-78.83636784,census,https://huntingtonhelps.com,Accessible
Huntington Learning Center,8111 Creedmoor Rd # 117,Raleigh,NC,27613,4386,Shawn,Livingston,Exec Director,"8111 Creedmoor Rd  Raleigh, NC 27613",(919) 676-5477,Tutoring,611691,NA,NA,NA,NA,Private,Wake,25,NA,huntingtonhelps.com,1988,https://HUNTINGTONHELPS.COM,35.89607774,-78.68066462,census,https://huntingtonhelps.com,Accessible
Huntington Learning Center,1616 Battleground Ave # A,Greensboro,NC,27408,8035,Hannah,Bennett,Manager,"1616 Battleground Ave Greensboro, NC 27408",(336) 288-7979,Tutoring,611691,611710,611710,611710,NA,Private,Guilford,20,NA,huntingtonhelps.com,2005,https://HUNTINGTONHELPS.COM,36.08975567,-79.81008721,census,https://huntingtonhelps.com,Accessible
Huntington Learning Center,619 Red Banks Rd,Greenville,NC,27858,5814,Tonia,Sims,Director,"619 Red Banks Rd Greenville, NC 27858",(252) 321-9898,Tutoring,611691,NA,NA,NA,NA,Private,Pitt,25,NA,huntingtonhelps.com,2010,https://HUNTINGTONHELPS.COM,35.58144407,-77.37021358,census,https://huntingtonhelps.com,Accessible
Huntington Learning Center,3309 Rogers Rd,Wake Forest,NC,27587,3943,Mike,Gallagher,Owner,"3309 Rogers Rd Wake Forest, NC 27587",(919) 832-5020,Tutoring,611691,611710,NA,NA,NA,Private,Wake,13,NA,huntingtonhelps.com,2012,https://HUNTINGTONHELPS.COM,35.95019153,-78.51505919,census,https://huntingtonhelps.com,Accessible
Huntington Learning Center,9601 Holly Point Dr # 101,Huntersville,NC,28078,4914,Julie,Ramage,Exec Director,"9601 Holly Point Dr Huntersville, NC 28078",(704) 896-9699,Tutoring,611691,611710,611710,NA,NA,Private,Mecklenburg,15,NA,huntingtonhelps.com,2001,https://HUNTINGTONHELPS.COM,35.44153206,-80.86351838,census,https://huntingtonhelps.com,Accessible
Huntington Learning Center,2545 Ravenhill Dr # 103,Fayetteville,NC,28303,5460,Roy,Robinson,Owner,"2545 Ravenhill Dr Fayetteville, NC 28303",(910) 323-1855,Tutoring,611691,611710,NA,NA,NA,Private,Cumberland,10,NA,huntingtonhelps.com,2007,https://HUNTINGTONHELPS.COM,35.04753485,-78.92590765,census,https://huntingtonhelps.com,Accessible
Huntington Learning Center,5945 Weddington Rd # 104,Weddington,NC,28104,6285,Rob,Schellenberg,Owner,"5945 Weddington Rd  Weddington, NC 28104",(704) 243-5784,Tutoring,611691,621999,611710,NA,NA,Private,Union,31,NA,huntingtonhelps.com,2016,https://HUNTINGTONHELPS.COM,35.00118682,-80.69941189,census,https://huntingtonhelps.com,Accessible
Huntington Learning Center,311 Williamson Rd # 201,Mooresville,NC,28117,5970,NA,NA,NA,"311 Williamson Rd  Mooresville, NC 28117",(980) 444-0485,Tutoring,611691,NA,NA,NA,NA,Private,Iredell,3,NA,huntingtonhelps.com,2019,https://HUNTINGTONHELPS.COM,35.58448277,-80.87373611,census,https://huntingtonhelps.com,Accessible
Huntington Learning Center,8111 Creedmoor Rd # 117,Raleigh,NC,27613,4386,Shawn,Livingston,Exec Director,"8111 Creedmoor Rd  Raleigh, NC 27613",(919) 676-5477,Tutoring,611691,NA,NA,NA,NA,Private,Wake,25,NA,huntingtonhelps.com,1988,https://HUNTINGTONHELPS.COM,35.89607774,-78.68066462,census,https://huntingtonhelps.com,Accessible
Huntington Learning Center,5919 Oleander Dr # 105,Wilmington,NC,28403,4757,Lynette,Askew,Owner,"5919 Oleander Dr  Wilmington, NC 28403",(910) 313-2639,Tutoring,611691,611710,611710,NA,NA,Private,New Hanover,20,NA,huntingtonhelps.com,2007,https://HUNTINGTONHELPS.COM,34.20957572,-77.84217971,census,https://huntingtonhelps.com,Accessible
